,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
93,Greece,2017,5.14824152,10.11751747,0.752899528,71.7803421,0.438300014,-0.296734989,0.87223947,0.60293901,0.332830757,0.139880896,NA,NA,2.411631107,0.468437821,0.346909091,0.346705943
94,Guatemala,2016,6.358916283,8.904734612,0.811235487,63.14004898,0.862675726,0.008398513,0.812030017,0.846122503,0.321357191,0.468962193,-0.422242403,-0.646931469,2.699421883,0.424509734,0.52675,0.48915869
95,Guatemala,2017,6.325118542,8.918908119,0.826492071,63.38197708,0.914521694,-0.0617286,0.799747884,0.845865786,0.308086157,0.458623856,NA,NA,2.858946085,0.4519988,0.52675,0.495318562
96,Guinea,2016,3.602854729,7.508424759,0.675447047,50.66684341,0.725685179,-0.043400712,0.802781165,0.686984658,0.374393791,0.465695828,-0.569726825,-1.026624203,2.118486643,0.588002264,0.387,0.520185173
97,Guinea,2017,4.873722553,7.527477264,0.634025574,51.15181732,0.738212824,0.054307584,0.750026226,0.704477131,0.422460884,0.639980793,NA,NA,2.969935417,0.609377205,0.387,0.618353307
98,Haiti,2016,3.352300167,7.410928726,0.58374244,53.09737778,0.303540409,0.294325322,0.838523149,0.552774072,0.367341012,0.146064624,-0.702020884,-1.410874009,2.188143969,0.652729154,0.409,0.613710284
99,Haiti,2017,3.823865652,7.403176308,0.646984994,53.34700775,0.484429151,0.384510309,0.647191584,0.573366702,0.321692765,0.435076952,NA,NA,2.15694499,0.564074457,0.409,0.574473023
100,Honduras,2016,5.648154736,8.387600899,0.773909986,63.58427429,0.850046694,0.087086849,0.792875171,0.832396746,0.296846688,0.389274508,-0.395389467,-0.761657715,2.970618963,0.525945067,0.5556,0.529477537
101,Honduras,2017,6.019985676,8.404379845,0.84335494,63.75267029,0.898377419,0.080074072,0.783429444,0.842200935,0.248383343,0.495585024,NA,NA,2.963586092,0.492291212,0.5556,0.561559021
102,Hong Kong S.A.R. of China,2016,5.498420715,10.90189648,0.83207792,76.26802826,0.799743414,0.082167558,0.40281257,0.664092779,0.213114589,0.449610382,0.55514127,1.821865916,1.819238186,0.330865592,NA,0.513228953
103,Hong Kong S.A.R. of China,2017,5.362474918,10.91716671,0.83106631,76.53636169,0.830657244,0.122934707,0.415810198,0.63953346,0.200593412,0.545040727,NA,NA,1.784559488,0.33278653,NA,0.471278399
104,Hungary,2016,5.448901653,10.15244865,0.899511576,67.01950836,0.55395174,-0.198393941,0.924185812,0.66591078,0.24332577,0.30377233,0.542590141,0.411992431,1.845377684,0.338669658,0.296818182,0.301498115
105,Hungary,2017,6.065038681,10.19323826,0.876747549,67.193367,0.661165953,-0.150793031,0.886361301,0.735184252,0.180921271,0.377770513,NA,NA,1.792409182,0.295531362,0.296818182,0.330753207
106,Iceland,2016,7.510034561,10.72054195,0.984940052,72.75598145,0.951609552,0.272110164,0.719299555,0.873887897,0.158169165,0.363518298,1.33810854,1.545734048,1.571246386,0.20921959,0.280090909,0.340639085
107,Iceland,2017,7.476213932,10.76040936,0.966752827,72.75598145,0.938783288,0.235478714,0.726845384,0.895254552,0.148160011,0.365041941,NA,NA,1.630090833,0.21803695,0.280090909,0.332437903
108,India,2016,4.179177284,8.714838028,0.613529384,59.25857925,0.820068777,0.033288639,0.764722109,0.69450444,0.345681459,0.732104599,-0.270197809,-0.144698903,1.74134922,0.416672736,0.352,0.393607318
109,India,2017,4.046111107,8.768456459,0.606767476,59.50262833,0.88585043,-0.0545028,0.780802786,0.682090998,0.317936778,0.8392784,NA,NA,1.65982759,0.410227895,0.352,0.380112171
110,Indonesia,2016,5.136325359,9.284013748,0.791830599,60.43583679,0.82994163,0.485145062,0.889677405,0.832811952,0.341573596,0.80088073,-0.117177516,-0.213059276,2.546778202,0.495836616,0.395,0.413669288
111,Indonesia,2017,5.098401546,9.322167397,0.795589209,60.58441544,0.865026295,0.472973853,0.900416434,0.862584174,0.319171578,0.825765371,NA,NA,2.3251791,0.45606041,0.395,0.449708253
112,Iran,2016,4.652730942,9.825400352,0.566281199,65.73584747,0.773303747,0.150406659,0.712782621,0.686764956,0.52587682,0.709471166,-1.065353274,-0.715637684,2.542438507,0.546440065,0.4132,0.524211705
113,Iran,2017,4.716783047,9.853448868,0.714232922,65.96455383,0.730635166,0.182735115,0.714941323,0.693666041,0.438533902,NA,NA,NA,2.497179031,0.529424191,0.4132,0.852039635
114,Iraq,2016,4.412537098,9.685761452,0.718956709,60.86371613,0.666160166,-0.091289066,0.798866451,0.488692015,0.569758058,0.418604314,-1.643929005,-1.371656775,2.948788166,0.668274999,0.2905,0.548373163
115,Iraq,2017,4.462399006,9.622719765,0.695109367,61.04584503,0.627722025,-0.038429033,0.757108808,0.505288541,0.59053874,0.424050778,NA,NA,2.899484873,0.649759233,0.2905,0.55036813
116,Ireland,2016,7.04073143,11.05076122,0.958144009,71.57509613,0.874589145,0.161003679,0.398544312,0.809203029,0.211063311,0.574739754,1.085432649,1.564082265,1.843073368,0.26177299,0.325545455,0.36578542
117,Ireland,2017,7.060155392,11.06648731,0.943481982,71.70978546,0.905341148,0.206801742,0.33708474,0.833388925,0.212784126,0.603799641,NA,NA,1.761334419,0.2494753,0.325545455,0.367454171
118,Israel,2016,7.159010887,10.39464664,0.889660776,71.95502472,0.772297323,0.144781038,0.804056585,0.629189372,0.263090223,0.43813318,-0.027976096,1.185869336,1.66659677,0.232797071,0.411,0.306069046
119,Israel,2017,7.331036091,10.40613174,0.916440845,71.86508179,0.768076301,0.137158513,0.792652249,0.673591316,0.276443154,0.389368147,NA,NA,1.522682905,0.20770365,0.411,0.245601237
120,Italy,2016,5.95452404,10.45493507,0.927212834,73.7829895,0.623741627,-0.088797256,0.902801216,0.685422838,0.339173585,0.23759909,0.694441795,0.386021525,1.871863604,0.314359903,0.341272727,0.397048205
121,Italy,2017,6.198870182,10.4724741,0.919791222,74.13479614,0.632843256,-0.043380704,0.866667926,0.661180735,0.322846144,0.230196297,NA,NA,1.927246571,0.310902864,0.341272727,0.346708387
122,Ivory Coast,2016,4.542545795,8.138788223,0.617400765,46.52892685,0.768789351,-0.027511623,0.757453382,0.70361656,0.378029406,0.714816749,-0.593027055,-0.560975373,2.462603807,0.542119741,0.420666667,0.550322711
123,Ivory Coast,2017,5.037734985,8.180943489,0.661375344,46.98994064,0.732097924,-0.095353842,0.770940244,0.697735488,0.35745579,0.516654313,NA,NA,2.612090111,0.518504858,0.420666667,0.557953954
124,Jamaica,2017,5.889759064,9.025864601,0.91302985,65.81879425,0.860676348,-0.130832732,0.882796168,0.769282162,0.243399635,0.348201752,NA,NA,2.399337769,0.407374531,0.469,0.56453526
125,Japan,2016,5.954650879,10.55195904,0.899773836,75.08885193,0.836064637,-0.079771206,0.697639346,0.76010859,0.192402646,0.362200648,1.004748583,1.537288904,1.898952603,0.318902433,0.321,0.329055846
126,Japan,2017,5.910676479,10.56816864,0.881961286,75.31729126,0.849396586,-0.223296791,0.659198642,0.740387619,0.17551218,0.412489951,NA,NA,1.950256944,0.329954952,0.321,0.42615369
127,Jordan,2016,5.27128458,9.034749031,0.819944739,64.29154205,0.771350622,-0.038151234,NA,0.640657842,0.311913371,NA,-0.644290686,0.192616478,2.675685644,0.507596493,0.343,0.369783759
128,Jordan,2017,4.808082581,9.025333405,0.814664543,64.4178772,0.766262472,-0.151522875,NA,0.627798378,0.391505182,NA,NA,NA,2.523892403,0.52492702,0.343,0.363606215
129,Kazakhstan,2016,5.533551693,10.0623312,0.927810669,63.86470795,0.782805562,-0.051563937,0.702016652,0.702479124,0.15541473,0.759726167,-0.622102797,-0.345599562,2.01249814,0.363690138,0.295066667,0.339127779
130,Kazakhstan,2017,5.882351398,10.0718708,0.914093196,64.19999695,0.745243967,-0.049178492,0.755250692,0.756762207,0.171486408,0.755705774,NA,NA,1.745323777,0.296705127,0.295066667,0.337242872
131,Kenya,2016,4.396127701,7.981255054,0.70592159,58.29753876,0.748508275,0.314662308,0.828411579,0.742762327,0.225647658,0.577654064,-0.737279534,-0.510546505,2.43389678,0.553645611,0.485,0.556292892
132,Kenya,2017,4.475654125,8.01025486,0.714604318,58.68983841,0.853394389,0.250179261,0.85400039,0.788452208,0.230210304,0.637862563,NA,NA,2.532363415,0.565808535,0.485,0.521331966
133,Kosovo,2016,5.759412289,9.164076805,0.82380271,62.17642975,0.827398598,0.117103048,0.940897942,0.703886986,0.14960672,0.313764572,NA,NA,2.297620058,0.398933083,NA,0.407474339
134,Kosovo,2017,6.149199963,NA,0.792087257,62.39247894,0.857676744,NA,0.92519182,0.738435566,0.185879096,0.298196137,NA,NA,2.432453156,0.395572305,NA,0.402043372
135,Kuwait,2016,5.947194576,11.13985634,0.845222056,65.27143097,0.840967178,-0.115944043,NA,0.688287258,0.314922988,NA,-0.420880616,-0.106411517,2.360634089,0.396932393,NA,0.538838744
136,Kuwait,2017,6.093905449,11.11179256,0.853491306,65.37895966,0.884181619,-0.048504289,NA,0.692071915,0.307320803,NA,NA,NA,2.355753183,0.386575282,NA,0.591861427
137,Kyrgyzstan,2016,4.856534004,8.099241257,0.914375484,62.67971039,0.813939214,0.078918613,0.916922808,0.778171241,0.126099676,0.527570188,-0.572721183,-0.856262386,1.919352412,0.395210326,0.306375,0.401855767
138,Kyrgyzstan,2017,5.629536629,8.11204052,0.882586658,62.89964676,0.859389782,0.166667372,0.874494493,0.755125225,0.160438314,0.561672747,NA,NA,1.901391029,0.33775267,0.306375,0.382150888
139,Laos,2017,4.623140812,8.708567619,0.70733577,57.8695755,0.891000748,0.076482594,0.591616809,0.872791767,0.344225883,0.839935005,NA,NA,1.881973863,0.407076895,0.348,0.585087001
140,Latvia,2016,5.940446377,10.0739727,0.917073965,65.10926056,0.685299277,-0.164454147,0.867639601,0.653751254,0.231383532,0.315261304,0.6312989,0.879815161,1.705120325,0.287035733,0.362,0.384025455
141,Latvia,2017,5.977817535,10.1330328,0.895098746,65.10926056,0.699520111,-0.163831443,0.79837811,0.623312771,0.231753111,0.264000505,NA,NA,1.814803123,0.303589582,0.362,0.36218524
142,Lebanon,2016,5.27072382,9.493102074,0.827885926,68.71556854,0.657357454,0.030867048,0.853114486,0.552651107,0.263445616,0.137951434,-1.038987398,-0.674152195,2.212087393,0.419693291,0.318,0.322835147
143,Lebanon,2017,5.153989792,9.491579056,0.776583016,68.8638916,0.604554176,-0.075028144,0.910727262,0.515443921,0.243549213,0.217718095,NA,NA,1.929767609,0.374422073,0.318,0.326644003
144,Lesotho,2016,3.808204889,7.914381981,0.798059285,46.48040009,0.729489863,-0.100786686,0.742873371,0.732465565,0.27028349,0.609269023,-0.109219924,-0.34722355,3.102682352,0.814736187,0.529,0.676437318
145,Liberia,2016,3.354676008,6.624804974,0.642614603,52.38512802,0.763476014,0.086077176,0.901267469,0.635527551,0.509046674,0.544246912,-0.320883244,-0.987271547,2.625506639,0.782640874,0.3485,0.558121264
146,Liberia,2017,4.424490929,6.629414082,0.684866846,52.78684998,0.733389914,0.04057676,0.866806388,0.667946458,0.39133054,0.554991543,NA,NA,3.393739939,0.767035127,0.3485,0.590849876
147,Libya,2016,5.43358326,9.625382423,0.87606585,61.38998795,0.822384834,-0.130131885,NA,0.71778506,0.383073747,NA,-1.790413499,-1.900852084,2.687953711,0.494692653,NA,0.480711341
148,Libya,2017,5.646852493,NA,0.822758794,61.48470688,0.778695881,NA,0.673065543,0.69704932,0.379374176,NA,NA,NA,2.507787943,0.444103688,NA,0.586069345
149,Lithuania,2016,5.865552425,10.2365284,0.937873363,66.51252747,0.614239335,-0.275435746,0.949392676,0.594167292,0.249855742,0.279638559,0.892637491,0.977511108,1.906200886,0.324982315,0.353090909,0.355488271
150,Lithuania,2017,6.272940636,10.28265762,0.926316619,67.04169464,0.749307334,-0.182276621,NA,0.607613146,0.19511883,0.32124728,NA,NA,2.175804377,0.346855581,0.353090909,0.428504139
151,Luxembourg,2016,6.967340946,11.45915508,0.941260576,72.2013092,0.882365346,0.005297689,0.356336325,0.757949769,0.192300707,0.678977847,1.421888709,1.801322937,1.389065146,0.199368045,0.315363636,0.311804265
152,Luxembourg,2017,7.061380863,11.46523094,0.905435503,72.2013092,0.90282172,0.029771445,0.330173582,0.765816867,0.184467003,0.73892206,NA,NA,1.424475908,0.201727673,0.315363636,0.292349696
153,Macedonia,2016,5.34574604,9.476909637,0.871212244,65.7313385,0.706179321,0.077230327,0.869719028,0.638737202,0.292294681,0.256954134,-0.308208942,-0.02103078,2.175041437,0.406873316,0.390166667,0.524655521
154,Macedonia,2017,5.233866692,9.50363636,0.79995513,65.8757782,0.752106607,-0.062728427,0.855697274,0.502459884,0.299390584,0.442916453,NA,NA,2.111887217,0.403504193,0.390166667,0.371204376
155,Madagascar,2016,3.663085938,7.241845608,0.746496975,56.64513779,0.569645405,-0.061459843,0.864171147,0.813191354,0.204255417,0.490199178,-0.333081782,-0.873781383,1.532528877,0.418370992,0.431,0.479676157
156,Madagascar,2017,4.078620434,7.249253273,0.626331985,56.99448395,0.570347905,-0.025507912,0.847260773,0.751698077,0.374838024,0.541916132,NA,NA,2.328914881,0.571005523,0.431,0.57831651
157,Malawi,2016,3.476492643,6.988229752,0.524299622,53.61874771,0.809884131,0.062750474,0.823615015,0.603104591,0.32473892,0.552534401,-0.011598717,-0.675825953,2.231857777,0.641985476,0.43,0.525955856
158,Malawi,2017,3.416862965,7.00270319,0.555422723,54.23464203,0.847920775,0.021560058,0.734636605,0.608666539,0.312088341,0.620332539,NA,NA,2.760293245,0.807844281,0.43,0.57405597
159,Mali,2016,4.016027927,7.586338997,0.836254537,48.78207016,0.696007371,-0.064837813,0.862326682,0.806901336,0.305299431,0.524199367,-0.864825547,-0.757015526,1.773323536,0.44156155,0.372666667,0.438034266
160,Mali,2017,4.741850376,7.608559132,0.741359413,49.17869949,0.753213346,-0.064547285,0.862655163,0.741835773,0.392784148,0.504820108,NA,NA,2.511667967,0.529680967,0.372666667,0.549026549
161,Malta,2016,6.590842247,10.48412037,0.930369377,71.82951355,0.916023612,0.333253354,0.696494639,0.687271595,0.355443776,0.618818283,1.138802528,0.974427104,1.875335813,0.2845366,NA,0.401275814
162,Malta,2017,6.675665855,10.50269985,0.937331796,71.82951355,0.923642933,0.241762459,0.690494537,0.720753372,0.302443117,0.75200516,NA,NA,1.994550347,0.298779249,NA,0.41963762
163,Mauritania,2016,4.472149372,8.180959702,0.784826875,53.18717194,0.466561466,-0.156557575,0.841835141,0.734556079,0.221666142,0.208929226,-0.783127666,-0.777293861,2.17881608,0.487196624,0.36825,0.456840456
164,Mauritania,2017,4.678159714,8.187707901,0.77922523,53.33533859,0.527446806,-0.134765625,0.777314067,0.637107074,0.272321939,0.292109728,NA,NA,2.130549908,0.455424786,0.36825,0.433928311
165,Mauritius,2016,5.610003471,9.881625175,0.836032152,65.44968414,0.819175661,0.126588583,0.890661359,0.784898281,0.245711893,0.565379262,0.955853879,0.777220905,2.085884809,0.371815234,0.3575,0.386705786
166,Mauritius,2017,6.174117565,9.914654732,0.910142243,65.5891571,0.912307501,0.073929414,0.818179905,0.747760177,0.168721184,0.614670753,NA,NA,2.247790575,0.36406669,0.3575,0.415626824
167,Mexico,2016,6.824172974,9.731064796,0.893492579,67.93761444,0.751613081,-0.157982796,0.808579445,0.859106421,0.219571486,0.277944058,-0.427138358,-0.209451661,1.959457278,0.287134767,0.48475,0.432634264
168,Mexico,2017,6.410299301,9.741969109,0.799839377,68.09822845,0.861405134,-0.206639215,0.800893068,0.842642307,0.230990887,0.25695315,NA,NA,2.236207247,0.348845989,0.48475,0.438771129
169,Moldova,2016,5.577784061,8.505997658,0.83732146,63.51531601,0.557369471,0.000913991,0.969482958,0.621101141,0.274551123,0.084061243,-0.154610381,-0.556683362,1.853713512,0.332338691,0.3299375,0.37286514
170,Moldova,2017,5.325530529,8.545788765,0.83076793,63.70124435,0.552825212,-0.003178872,0.926333785,0.581488788,0.259477794,0.132729635,NA,NA,1.885169268,0.353987128,0.3299375,0.433169961
171,Mongolia,2016,5.056999683,9.337942123,0.947489381,62.10371399,0.759740949,0.073655866,0.900452137,0.694095433,0.171171755,0.349382877,0.635155261,-0.227193967,1.692159295,0.334617257,0.335833333,0.386413842
172,Mongolia,2017,5.333850384,9.318548203,0.924250782,62.31261063,0.674627423,0.106451347,0.864952207,0.675165296,0.213599518,0.275058359,NA,NA,2.095161676,0.392804742,0.335833333,0.389351517
173,Montenegro,2016,5.304066181,9.662998199,0.865743697,66.94638824,0.568633676,-0.090254776,0.848966599,0.59142518,0.336675465,0.325959235,0.120648876,0.046508446,2.228291512,0.420110047,0.3093,0.356859386
174,Montenegro,2017,5.614798546,9.694497108,0.881199837,67.14218903,0.625906289,-0.084890783,0.755680025,0.519128144,0.349785089,0.351549894,NA,NA,2.207511902,0.393159598,0.3093,0.352438509
175,Morocco,2016,5.38630724,8.890939713,0.655409336,65.11118317,0.816556096,-0.249711856,0.717356145,0.712659359,0.205413148,NA,-0.466077298,-0.157363087,2.143992424,0.398044944,0.4065,0.528209746
176,Morocco,2017,5.312482834,8.915043831,0.641193092,65.33885956,0.814258039,-0.227919385,0.840502441,0.559288204,0.322715908,NA,NA,NA,2.287168264,0.43052718,0.4065,0.527966917
177,Mozambique,2017,4.279863358,7.046577454,0.678463697,49.9577446,0.822670519,-0.021502597,0.682108939,0.648381412,0.353176504,0.759234369,NA,NA,2.985019922,0.697456837,0.463,0.608845353
178,Myanmar,2016,4.623119831,8.576414108,0.793461978,57.48713303,0.877491176,0.65864408,0.607286572,0.804009914,0.301501393,0.924319088,-0.744200706,-0.870932102,1.850762725,0.400327653,0.381,0.426540643
179,Myanmar,2017,4.154341698,8.634504318,0.795183837,57.64122009,0.886011839,0.62870574,0.618821502,0.74564749,0.282285541,0.82417655,NA,NA,2.233865976,0.537718415,0.381,0.424162179
180,Namibia,2017,4.441306114,9.203362465,0.82833904,55.49542618,0.810401857,-0.20176585,0.831302881,0.72067821,0.277252167,0.745853603,NA,NA,2.739773273,0.616884589,0.6215,0.602735937
181,Nepal,2016,5.099539757,7.739643097,0.837043643,60.94416428,0.839488447,0.181324169,0.81711489,0.627351165,0.369661748,0.490016222,-0.51362282,-0.793513,2.4420259,0.478871822,0.383,0.483672142
182,Nepal,2017,4.736692429,7.801309109,0.816383302,61.26595688,0.84514761,0.146511137,0.770177126,0.570577025,0.375977933,0.559578538,NA,NA,2.468453646,0.521134436,0.383,0.463746637
183,Netherlands,2016,7.540877342,10.76432228,0.925944209,71.61999512,0.907310009,0.22616823,0.43330425,0.838432372,0.214850739,0.572273314,1.184740663,1.915633917,1.28147161,0.169936672,0.286909091,0.417054057
184,Netherlands,2017,7.458965302,10.79181385,0.936501324,71.61999512,0.920319736,0.237440467,0.363133639,0.852184892,0.184519842,0.669553638,NA,NA,1.318479896,0.176764444,0.286909091,0.44193548
185,New Zealand,2016,7.225687981,10.47082806,0.93660289,71.56868744,0.926576018,0.256222397,0.278270781,0.832944691,0.207413629,0.569690168,1.467140079,2.029567957,1.740498543,0.240876511,NA,0.419764876
186,New Zealand,2017,7.32718277,10.47576237,0.95492065,71.61430359,0.942279458,0.28505671,0.221887484,0.817431271,0.171716571,0.609015465,NA,NA,1.650335789,0.225234702,NA,0.446442187
187,Nicaragua,2016,6.012739658,8.544193268,0.852702439,66.01926422,0.716534257,0.039651159,0.731464922,0.805123985,0.380347282,0.586549759,-0.400105834,-0.67397368,2.800153732,0.465703458,0.48275,0.416087627
